STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-01,45,50,40
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-02,43,50,37
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-03,45,52,38
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-04,52,61,43
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-05,60,68,51
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-06,62,70,55
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-07,67,76,58
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-08,68,78,59
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-09,66,74,58
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-10,55,61,49
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-11,47,52,41
USW00024234,"SEATTLE BOEING FIELD, WA US",2020-12,43,50,37
