SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,Pop 25 years and over,High school / equivalent,Some college,Associate's,Bachelor's,Graduate/Professional,UNDER18,AGE1824_TOT,AGE2529_TOT,AGE1829,AGE3034_TOT,AGE3539_TOT,AGE3039,AGE4044_TOT,AGE4549_TOT,AGE4049,AGE5054_TOT,AGE5559_TOT,AGE5059,AGE6064_TOT,AGE6569_TOT,AGE6069,AGE7074_TOT,AGE7579_TOT,AGE7079,AGE8084_TOT,AGE85PLUS_TOT,AGE80,MEDIANINC
40,2,3,26,0,Michigan,Michigan,9883640,9986857,6813480,1967316,1591358,643446,1207829,777341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57144
50,2,3,26,9,Michigan,Antrim,23580,23324,17456,5507,3871,1587,3155,1880,4425,1443,1094,2537,1063,1107,2170,1075,1181,2256,1537,1969,3506,2201,2086,4287,1693,1284,2977,767,706,1473,56165
50,2,3,26,19,Michigan,Benzie,17525,17766,13287,4146,2893,1335,2478,1542,3374,1105,883,1988,909,960,1869,857,961,1818,1068,1473,2541,1617,1478,3095,1294,905,2199,579,532,1111,57974
50,2,3,26,29,Michigan,Charlevoix,25949,26143,19276,5727,4487,1918,3494,2497,5067,1800,1349,3149,1292,1407,2699,1300,1341,2641,1689,2170,3859,2382,2116,4498,1766,1256,3022,710,721,1431,55760
50,2,3,26,39,Michigan,Crawford,14074,14029,10469,3460,2775,1149,1300,730,2721,839,751,1590,602,716,1318,620,766,1386,973,1302,2275,1306,1167,2473,927,692,1619,446,388,834,47977
50,2,3,26,47,Michigan,Emmet,32694,33415,24091,5941,6037,2580,4865,3187,6755,2569,1938,4507,1837,1807,3644,1850,1927,3777,2086,2536,4622,2817,2671,5488,2009,1360,3369,866,888,1754,55829
50,2,3,26,55,Michigan,Grand Traverse,86986,93088,66588,15948,16716,6728,15020,8979,19531,6969,5803,12772,5776,5972,11748,5227,5582,10809,5658,6940,12598,7291,6611,13902,5075,3247,8322,2056,2337,4393,63575
50,2,3,26,79,Michigan,Kalkaska,17153,18038,12716,5358,3065,1167,955,557,4102,1220,1059,2279,1087,1075,2162,995,1072,2067,1195,1436,2631,1476,1272,2748,1039,742,1781,418,257,675,46898
50,2,3,26,89,Michigan,Leelanau,21708,21761,16727,3615,3337,1565,4318,3166,3753,1281,914,2195,965,1046,2011,981,1036,2017,1169,1782,2951,2137,2333,4470,1732,1277,3009,806,808,1614,65249
50,2,3,26,101,Michigan,Manistee,24733,24558,18346,6530,4173,2057,2430,1294,4399,1813,1384,3197,1224,1197,2421,1168,1349,2517,1560,1923,3483,2265,2109,4374,1680,1207,2887,748,714,1462,50055
50,2,3,26,113,Michigan,Missaukee,14849,15118,10439,4373,2301,1210,984,476,3641,1038,894,1932,826,846,1672,728,833,1561,960,1182,2142,1216,979,2195,827,580,1407,418,331,749,47194
50,2,3,26,165,Michigan,Wexford,32735,33631,23078,8410,5895,2169,2871,1334,8147,2406,2045,4451,1926,1993,3919,1805,1939,3744,2161,2516,4677,2515,2166,4681,1684,1219,2903,744,768,1512,47193
